frequency_hz,frequency_mhz,mean_amplitude,std_amplitude,min_amplitude,max_amplitude,peak_to_peak,linear_slope_db_per_hour,linear_r2,first_to_last_delta_db
39643296.0,39.643296,-74.92618343510031,0.43133279153933957,-76.4363937,-73.5692368,2.8671568999999977,0.008003583595066723,2.8683649252347898e-05,0.25473019999999735
39990438.272,39.990438272,-74.90677055945552,0.4296549255456573,-76.3218994,-73.4332962,2.8886032000000057,-0.01487678089817409,9.987774504338631e-05,-0.7134094000000033
40337580.544,40.337580544,-74.91327502335247,0.4153578140115606,-76.0992203,-73.7293549,2.369865399999995,0.010656778316923176,5.484000398936484e-05,-1.4853668000000084
40684722.816,40.684722816,-74.66654955085957,0.43572241197552325,-75.8845291,-73.4028473,2.48168179999999,0.07863736065358433,0.002713491364811582,-0.31978610000000174
41031865.088,41.031865087999996,-74.51628223223497,0.4169886109450902,-75.6851196,-73.1845398,2.500579799999997,-0.11445151163167049,0.006276030766926843,-0.06042480000000694
41379007.36,41.37900736,-74.36235004885386,0.41276658007696443,-75.5920715,-73.2554092,2.3366623000000004,-0.031130359268980494,0.000473859504670604,0.12493899999999769
41726149.632,41.726149632,-74.10506194426935,0.4310651097930223,-75.3141861,-72.6750412,2.639144900000005,0.1087245125254664,0.005299801181309016,-0.37680050000000165
42073291.904,42.073291904,-73.6313590020057,0.41799195881831214,-74.9018784,-72.2977753,2.6041031000000032,-0.06684373454800557,0.002130472546990725,0.08790589999999554
42420434.176,42.420434176,-73.24686438524353,0.41906121668004304,-74.6734161,-71.937233,2.736183099999991,0.046439702322301026,0.0010230910844006846,-0.4434128000000044
42767576.448,42.767576448,-72.69335269641829,0.43339272287113334,-74.2823639,-71.5133286,2.7690352999999988,0.012727936706680067,7.18527127289148e-05,-1.2520600000000002
43114718.72,43.11471872,-72.00240305243553,0.4033399773746711,-73.2781219,-70.8437653,2.434356600000001,0.07994603281101895,0.003272967406483529,-0.3755721999999935
43461860.992,43.461860992,-71.12901386962746,0.36263981251847005,-72.4626389,-70.2611237,2.201515200000003,-0.05546686102509303,0.001948976486995213,-0.20771019999999396
43809003.264,43.809003264,-70.20495651418334,0.3493202662196217,-71.5149765,-69.2343597,2.280616800000004,-0.03480922035934238,0.0008272397835351608,0.6363678000000021
44156145.536,44.156145536,-69.09741017607442,0.3073608289807882,-70.0444336,-68.0989761,1.9454575000000034,0.06273262001394124,0.0034704053105799604,-0.1689834000000019
44503287.808,44.503287807999996,-67.89756808767909,0.2963611436192406,-68.9008102,-66.9812317,1.9195785,-0.007427584359362084,5.232907364993711e-05,0.3779145000000028
44850430.08,44.850430079999995,-66.57770209212042,0.2371391313116486,-67.6654587,-65.9421387,1.723320000000001,-0.014789331813113878,0.00032402688158028603,-0.06045529999998678
45197572.352,45.197572351999995,-65.08946657564472,0.22740396452744222,-66.0690994,-64.3352051,1.7338943000000029,0.008504831138899643,0.00011652677081641638,0.2774353000000076
45544714.624,45.544714624,-63.45867349298,0.17899011310653556,-64.0349731,-62.8233948,1.2115782999999993,0.03275489347530141,0.002789874597063924,0.046684300000002565
45891856.896,45.891856896,-61.51101674699137,0.15249011378448252,-61.9931984,-61.081913,0.911285399999997,-0.008493598200850768,0.00025845826964632224,0.12368779999999902
46238999.168,46.238999168,-59.2331025027221,0.12726448096006532,-59.8067055,-58.8489952,0.9577103000000022,0.0003172170022028899,5.175935733348069e-07,0.5222435000000019
46586141.44,46.58614144,-56.36191080128943,0.08889509747794584,-56.787796,-56.08638,0.7014160000000018,0.0017155340273936417,3.102654643971636e-05,0.35657119999999765
46933283.712,46.933283712,-53.09972255286533,0.06761538504961966,-53.7124786,-52.9035225,0.8089560999999961,0.001092036202234141,2.173068445221471e-05,0.49195100000000025
47280425.984,47.280425984,-51.3983198439828,0.061291120869698554,-52.2291908,-51.2163582,1.0128325999999959,0.008476082809090128,0.0015932562815906826,0.7378730999999945
47627568.256,47.627568255999996,-52.13237959770772,0.06750662554930076,-52.807785,-51.9595108,0.8482742000000059,0.0024878196301505377,0.00011314499989312221,0.6724205000000012
