sample_id,frequency_hz,frequency_mhz,amplitude_dbm,liquid_type,source_file,range,is_outlier,amplitude_denoised_dbm,amplitude_smoothed_dbm,amplitude_normalized
50-150_CSV0,50000000.0,50.0,-68.25,Air,CSV0.csv,50-150,True,-68.72,-68.50557124035387,-0.33278457386093824
50-150_CSV0,50133333.0,50.133333,-68.72,Air,CSV0.csv,50-150,False,-68.72,-68.91360060229627,-0.39676003415333616
50-150_CSV0,50266667.0,50.266667,-69.38,Air,CSV0.csv,50-150,False,-69.38,-69.32235569160055,-0.46084928219326815
50-150_CSV0,50400000.0,50.4,-69.64,Air,CSV0.csv,50-150,False,-69.64,-69.730037280289,-0.5247702146597938
50-150_CSV0,50533333.0,50.533333,-70.01,Air,CSV0.csv,50-150,False,-70.01,-70.1348461403839,-0.5882407282319725
50-150_CSV0,50666667.0,50.666667,-70.43,Air,CSV0.csv,50-150,False,-70.43,-70.53498304390752,-0.6509787195888594
50-150_CSV0,50800000.0,50.8,-71.06,Air,CSV0.csv,50-150,False,-71.06,-70.92864876288216,-0.7127020854095186
50-150_CSV0,50933333.0,50.933333,-71.33,Air,CSV0.csv,50-150,False,-71.33,-71.3140440693301,-0.7731287223730051
50-150_CSV0,51066667.0,51.066667,-71.6,Air,CSV0.csv,50-150,False,-71.6,-71.68936973527362,-0.8319765271583807
50-150_CSV0,51200000.0,51.2,-71.93,Air,CSV0.csv,50-150,False,-71.93,-72.05282653273498,-0.8889633964447003
50-150_CSV0,51333333.0,51.333333,-72.77,Air,CSV0.csv,50-150,False,-72.77,-72.40261523373557,-0.9438072269108813
50-150_CSV0,51466667.0,51.466667,-72.97,Air,CSV0.csv,50-150,False,-72.97,-72.75257273618735,-0.9986775239785978
50-150_CSV0,51600000.0,51.6,-73.14,Air,CSV0.csv,50-150,False,-73.14,-73.05104936253582,-1.0454760667752836
50-150_CSV0,51733333.0,51.733333,-73.31,Air,CSV0.csv,50-150,False,-73.31,-73.34689440993694,-1.0918620008478042
50-150_CSV0,51866667.0,51.866667,-73.71,Air,CSV0.csv,50-150,False,-73.71,-73.60474664923082,-1.1322909925696807
50-150_CSV0,52000000.0,52.0,-73.39,Air,CSV0.csv,50-150,False,-73.39,-73.8799705786195,-1.1754437144284802
50-150_CSV0,52133333.0,52.133333,-74.56,Air,CSV0.csv,50-150,True,-73.84,-74.11258908139818,-1.2119162754151458
50-150_CSV0,52266667.0,52.266667,-74.07,Air,CSV0.csv,50-150,True,-74.28999999999999,-74.3460281137617,-1.2485174883145658
50-150_CSV0,52400000.0,52.4,-74.74,Air,CSV0.csv,50-150,False,-74.74,-74.52302713304904,-1.276269397334802
50-150_CSV0,52533333.0,52.533333,-74.97,Air,CSV0.csv,50-150,False,-74.97,-74.66917947041419,-1.299184814527414
50-150_CSV0,52666667.0,52.666667,-74.55,Air,CSV0.csv,50-150,False,-74.55,-74.75730957829258,-1.3130028500489224
50-150_CSV0,52800000.0,52.8,-74.9,Air,CSV0.csv,50-150,False,-74.9,-74.85134684537333,-1.3277470768307673
50-150_CSV0,52933333.0,52.933333,-75.08,Air,CSV0.csv,50-150,False,-75.08,-74.92186335403629,-1.3388034529661756
50-150_CSV0,53066667.0,53.066667,-75.19,Air,CSV0.csv,50-150,False,-75.19,-74.98528604118896,-1.3487475794973085
50-150_CSV0,53200000.0,53.2,-75.42,Air,CSV0.csv,50-150,False,-75.42,-75.0019516181749,-1.351360597231225
50-150_CSV0,53333333.0,53.333333,-74.8,Air,CSV0.csv,50-150,False,-74.8,-75.0034651846999,-1.3515979113172982
50-150_CSV0,53466667.0,53.466667,-74.9,Air,CSV0.csv,50-150,False,-74.9,-74.96060150375843,-1.3448772584088813
50-150_CSV0,53600000.0,53.6,-74.62,Air,CSV0.csv,50-150,False,-74.62,-74.90952598888428,-1.3368690612580945
50-150_CSV0,53733333.0,53.733333,-74.79,Air,CSV0.csv,50-150,False,-74.79,-74.86766263484701,-1.3303052509206013
50-150_CSV0,53866667.0,53.866667,-74.57,Air,CSV0.csv,50-150,False,-74.57,-74.83077476299347,-1.3245215529783678
50-150_CSV0,54000000.0,54.0,-74.79,Air,CSV0.csv,50-150,False,-74.79,-74.81661000326807,-1.3223006416717649
50-150_CSV0,54133333.0,54.133333,-74.86,Air,CSV0.csv,50-150,False,-74.86,-74.75316770186238,-1.3123534397961047
50-150_CSV0,54266667.0,54.266667,-74.86,Air,CSV0.csv,50-150,False,-74.86,-74.72359594638672,-1.3077168453627939
50-150_CSV0,54400000.0,54.4,-74.53,Air,CSV0.csv,50-150,False,-74.53,-74.69142530238543,-1.3026727677795331
50-150_CSV0,54533333.0,54.533333,-74.73,Air,CSV0.csv,50-150,False,-74.73,-74.66659038901504,-1.2987788690497244
50-150_CSV0,54666667.0,54.666667,-74.88,Air,CSV0.csv,50-150,False,-74.88,-74.68525335076725,-1.3017050593680717
50-150_CSV0,54800000.0,54.8,-74.66,Air,CSV0.csv,50-150,False,-74.66,-74.68243870545832,-1.3012637474283095
50-150_CSV0,54933333.0,54.933333,-74.63,Air,CSV0.csv,50-150,False,-74.63,-74.67542987904446,-1.3001648243169872
50-150_CSV0,55066667.0,55.066667,-74.5,Air,CSV0.csv,50-150,False,-74.5,-74.6072082379853,-1.2894682634913517
50-150_CSV0,55200000.0,55.2,-74.63,Air,CSV0.csv,50-150,False,-74.63,-74.56924158221544,-1.2835154216000788
50-150_CSV0,55333333.0,55.333333,-74.45,Air,CSV0.csv,50-150,False,-74.45,-74.49711670480453,-1.2722068672133788
50-150_CSV0,55466667.0,55.466667,-74.57,Air,CSV0.csv,50-150,False,-74.57,-74.43595946387612,-1.2626179429752247
50-150_CSV0,55600000.0,55.6,-74.26,Air,CSV0.csv,50-150,False,-74.26,-74.40536776724323,-1.257821430626463
50-150_CSV0,55733333.0,55.733333,-74.39,Air,CSV0.csv,50-150,False,-74.39,-74.33805818894966,-1.2472678733213725
50-150_CSV0,55866667.0,55.866667,-74.46,Air,CSV0.csv,50-150,False,-74.46,-74.25665576985847,-1.2345046809729532
50-150_CSV0,56000000.0,56.0,-74.23,Air,CSV0.csv,50-150,False,-74.23,-74.17254658384996,-1.2213170910796733
50-150_CSV0,56133333.0,56.133333,-73.86,Air,CSV0.csv,50-150,False,-73.86,-74.10780647270253,-1.2111664039077474
50-150_CSV0,56266667.0,56.266667,-73.79,Air,CSV0.csv,50-150,False,-73.79,-74.02688460281041,-1.1984785575002603
50-150_CSV0,56400000.0,56.4,-74.21,Air,CSV0.csv,50-150,False,-74.21,-73.95542987904447,-1.1872750773849312
